FirstName,LastName,SamAccountName,UserPrincipalName,Department,OU,Title,Password,Enabled
Marketing,Analyst,marketing.analyst,marketing.analyst@hawks.local,Marketing,Marketing,Marketing Staff,HawksLab@2026!,TRUE
Public,Relations,public.relations,public.relations@hawks.local,Marketing,Marketing,Marketing Staff,HawksLab@2026!,TRUE
It,Director,it.director,it.director@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
It,Admin,it.admin,it.admin@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Identity,Admin,identity.admin,identity.admin@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Security,Analyst,security.analyst,security.analyst@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Cloud,Engineer,cloud.engineer,cloud.engineer@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Network,Engineer,network.engineer,network.engineer@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Systems,Engineer,systems.engineer,systems.engineer@hawks.local,IT,IT,IT Staff,HawksLab@2026!,TRUE
Helpdesk,Tech01,helpdesk.tech01,helpdesk.tech01@hawks.local,Helpdesk,Helpdesk,Helpdesk Technician,HawksLab@2026!,TRUE
Helpdesk,Tech02,helpdesk.tech02,helpdesk.tech02@hawks.local,Helpdesk,Helpdesk,Helpdesk Technician,HawksLab@2026!,TRUE
Helpdesk,Tech03,helpdesk.tech03,helpdesk.tech03@hawks.local,Helpdesk,Helpdesk,Helpdesk Technician,HawksLab@2026!,TRUE
Desktop,Support01,desktop.support01,desktop.support01@hawks.local,Helpdesk,Helpdesk,Helpdesk Technician,HawksLab@2026!,TRUE
Desktop,Support02,desktop.support02,desktop.support02@hawks.local,Helpdesk,Helpdesk,Helpdesk Technician,HawksLab@2026!,TRUE
It,Admin-admin,it.admin-admin,it.admin-admin@hawks.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,HawksLab@2026!,TRUE
Identity,Admin-admin,identity.admin-admin,identity.admin-admin@hawks.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,HawksLab@2026!,TRUE
Security,Analyst-admin,security.admin,security.admin@hawks.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,HawksLab@2026!,TRUE
